product_a,product_b,pair_count,score
17299,22295,1593,100.0
25560,28138,1032,64.78
3770,13108,859,53.92
26593,26594,474,29.76
51,28275,423,26.55
26593,29581,389,24.42
51,28518,384,24.11
3223,28138,364,22.85
28275,28518,346,21.72
24910,28138,321,20.15
5670,5673,317,19.9
51,27267,316,19.84
2868,3223,285,17.89
27267,28275,283,17.77
3223,25560,265,16.64
51,28497,261,16.38
3770,28138,259,16.26
28138,28518,259,16.26
13108,28138,249,15.63
3223,22295,248,15.57
3223,17299,248,15.57
4549,4564,242,15.19
17299,28138,240,15.07
22295,28138,239,15.0
19590,20307,237,14.88
3223,28518,232,14.56
10146,17299,223,14.0
10146,22295,223,14.0
19590,28275,215,13.5
17299,25560,214,13.43
22295,25560,213,13.37
25560,28275,212,13.31
5790,6003,210,13.18
28138,28275,208,13.06
5746,5790,201,12.62
51,28138,199,12.49
51,25560,198,12.43
25560,28518,195,12.24
2868,28138,195,12.24
4564,5790,189,11.86
28275,28497,188,11.8
25560,27267,184,11.55
3770,17299,183,11.49
4564,5670,183,11.49
3770,22295,183,11.49
13108,22295,179,11.24
13108,17299,179,11.24
4852,28518,178,11.17
20337,28138,177,11.11
51,4852,168,10.55
19590,20882,167,10.48
4549,5790,166,10.42
3223,28275,163,10.23
4564,5673,163,10.23
51,3223,160,10.04
5746,6003,160,10.04
27267,28518,158,9.92
27267,28138,155,9.73
5302,22295,153,9.6
5302,17299,152,9.54
5746,5786,151,9.48
3223,4564,149,9.35
4564,28518,146,9.17
10146,28138,145,9.1
22295,28518,144,9.04
3223,20337,143,8.98
10146,28518,141,8.85
17299,28518,141,8.85
17299,20337,140,8.79
3770,25560,140,8.79
20337,22295,140,8.79
51,19848,139,8.73
5786,6003,139,8.73
3223,20051,138,8.66
10146,25560,138,8.66
3936,28518,136,8.54
5786,5790,136,8.54
28518,29095,135,8.47
3770,10146,132,8.29
1788,20337,132,8.29
13108,25560,131,8.22
5670,5790,131,8.22
3223,3770,130,8.16
10146,13108,128,8.04
4549,5673,127,7.97
4549,5670,127,7.97
18565,28138,126,7.91
3770,28518,126,7.91
19590,25560,126,7.91
5673,6003,126,7.91
4564,5782,126,7.91
28497,28518,126,7.91
20337,25560,125,7.85
17299,27267,125,7.85
22295,27267,125,7.85
2868,25560,123,7.72
5673,5790,123,7.72
4852,25560,122,7.66
20307,20882,122,7.66
5670,6003,122,7.66
19590,29289,120,7.53
13108,28518,120,7.53
19590,27267,119,7.47
3770,20337,118,7.41
4549,5746,117,7.34
3223,13108,116,7.28
10146,20337,116,7.28
24057,28518,116,7.28
3223,27267,115,7.22
5673,5746,114,7.16
10146,24832,113,7.09
51,19590,113,7.09
4549,6003,112,7.03
4564,28138,112,7.03
4852,28275,112,7.03
27267,28497,111,6.97
4564,5746,111,6.97
26593,28138,111,6.97
4549,5786,111,6.97
2868,20337,111,6.97
3946,22295,110,6.91
1788,28138,109,6.84
3946,17299,109,6.84
1788,3223,109,6.84
3223,4852,108,6.78
25560,26593,108,6.78
4549,5782,108,6.78
20882,28275,108,6.78
4852,28138,107,6.72
13108,20337,107,6.72
5673,5688,106,6.65
25560,29289,106,6.65
4564,6003,105,6.59
19590,28138,105,6.59
22295,26593,104,6.53
5670,5746,104,6.53
17299,26593,104,6.53
4852,10146,103,6.47
3223,19590,102,6.4
51,24832,102,6.4
28275,29289,102,6.4
