anchor_product_id,complement_product_id,anchor_name,complement_name,rule_id,rule_type,reason,override_condition_met,pair_count,copurchase_score,recipe_score_norm,recipe_overlap_tokens,only_staples_overlap,anchor_family,complement_family,anchor_category,complement_category,recipe_score_anchor,recipe_score_complement,purchase_score,recipe_compat_signal,complement_gate_reason,dominant_ingredient_flags,penalty_rule,penalty_match_strength,penalty_multiplier,raw_score_before_penalty,raw_score_after_penalty,final_score_after_penalty
4564,57,Vegetables tomatoes,Al Khair Salt,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,tomatoes|salt,1.0,,,,,,,,,,,,,,,,
57,4564,Al Khair Salt,Vegetables tomatoes,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,salt|tomatoes,1.0,,,,,,,,,,,,,,,,
4564,19427,Vegetables tomatoes,Afia fine semolina 400 grams,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,tomatoes|flour,1.0,,,,,,,,,,,,,,,,
19427,4564,Afia fine semolina 400 grams,Vegetables tomatoes,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,flour|tomatoes,1.0,,,,,,,,,,,,,,,,
4564,3191,Vegetables tomatoes,Sasa Salt – 700g,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,tomatoes|salt,1.0,,,,,,,,,,,,,,,,
3191,4564,Sasa Salt – 700g,Vegetables tomatoes,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,salt|tomatoes,1.0,,,,,,,,,,,,,,,,
5670,3191,Vegetables onions medium bag,Sasa Salt – 700g,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,onions|salt,1.0,,,,,,,,,,,,,,,,
3191,5670,Sasa Salt – 700g,Vegetables onions medium bag,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,salt|onions,1.0,,,,,,,,,,,,,,,,
5688,57,Garlic vegetables 1 bag,Al Khair Salt,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,garlic|salt,1.0,,,,,,,,,,,,,,,,
57,5688,Al Khair Salt,Garlic vegetables 1 bag,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,salt|garlic,1.0,,,,,,,,,,,,,,,,
5688,2876,Garlic vegetables 1 bag,Foster Clark's Cornstarch,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,garlic,1.0,,,,,,,,,,,,,,,,
2876,5688,Foster Clark's Cornstarch,Garlic vegetables 1 bag,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,garlic,1.0,,,,,,,,,,,,,,,,
5688,3191,Garlic vegetables 1 bag,Sasa Salt – 700g,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,garlic|salt,1.0,,,,,,,,,,,,,,,,
3191,5688,Sasa Salt – 700g,Garlic vegetables 1 bag,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,salt|garlic,1.0,,,,,,,,,,,,,,,,
17299,27267,Al Fakhama rice 5 kg,Al Watania Frozen Chicken 600g,rice_with_generic_chicken,soft_penalty,rice and chicken should need stronger recipe or pair evidence than a broad default,0,125,7.85,,,,rice_centric,,grains,protein,76.674,58.0775,7.85,67.3758,rice and chicken should need stronger recipe or pair evidence than a broad default,rice,rice_with_generic_chicken,1.0,0.84,56.9321,47.823,49.4477
17299,3946,Al Fakhama rice 5 kg,Rivoni tomato paste 8 x 135g,rice_with_tomato_paste_generic,soft_penalty,rice with tomato paste is often too generic without stronger meal context,0,109,6.84,,,,rice_centric,,grains,vegetables,76.674,79.728,6.84,78.201,rice with tomato paste is often too generic without stronger meal context,rice,rice_with_tomato_paste_generic,1.0,0.72,48.7249,35.0819,36.1391
17299,51,Al Fakhama rice 5 kg,Royal chicken breasts 1 kilo,rice_with_generic_chicken,soft_penalty,rice and chicken should need stronger recipe or pair evidence than a broad default,0,61,3.83,,,,rice_centric,,grains,protein,76.674,58.0775,3.83,67.3758,rice and chicken should need stronger recipe or pair evidence than a broad default,rice,rice_with_generic_chicken,1.0,0.84,56.1197,47.1406,47.6403
17299,3389,Al Fakhama rice 5 kg,Al Tai Tomato Paste 8×135g,rice_with_tomato_paste_generic,soft_penalty,rice with tomato paste is often too generic without stronger meal context,0,35,2.2,,,,rice_centric,,grains,vegetables,76.674,79.728,2.2,78.201,rice with tomato paste is often too generic without stronger meal context,rice,rice_with_tomato_paste_generic,1.0,0.72,49.5484,35.6748,36.7677
17299,20570,Al Fakhama rice 5 kg,Uno chicken stock 24 x 18 g,rice_with_generic_chicken,soft_penalty,rice and chicken should need stronger recipe or pair evidence than a broad default,0,27,1.69,,,,rice_centric,,grains,protein,76.674,58.0775,1.69,67.3758,rice and chicken should need stronger recipe or pair evidence than a broad default,rice,rice_with_generic_chicken,1.0,0.84,55.6457,46.7424,47.9949
17299,5698,Al Fakhama rice 5 kg,Vegetables arugula,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,rice,1.0,,,,,,,,,,,,,,,,
5698,17299,Vegetables arugula,Al Fakhama rice 5 kg,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,rice,1.0,,,,,,,,,,,,,,,,
17299,5668,Al Fakhama rice 5 kg,Vegetables: green onions,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,rice|onions,1.0,,,,,,,,,,,,,,,,
5668,17299,Vegetables: green onions,Al Fakhama rice 5 kg,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,onions|rice,1.0,,,,,,,,,,,,,,,,
17299,2068,Al Fakhama rice 5 kg,Saudi Tomato Paste,rice_with_tomato_paste_generic,soft_penalty,rice with tomato paste is often too generic without stronger meal context,0,15,0.94,,,,rice_centric,,grains,vegetables,76.674,79.728,0.94,78.201,rice with tomato paste is often too generic without stronger meal context,rice,rice_with_tomato_paste_generic,1.0,0.72,46.6765,33.6071,33.9634
17299,27934,Al Fakhama rice 5 kg,Esnad Seven Spices Chicken Stock Cubes 20g (Pack of 16),rice_with_generic_chicken,soft_penalty,rice and chicken should need stronger recipe or pair evidence than a broad default,0,16,1.0,,,,rice_centric,,grains,protein,76.674,58.0775,1.0,67.3758,rice and chicken should need stronger recipe or pair evidence than a broad default,rice,rice_with_generic_chicken,1.0,0.84,54.4442,45.7331,47.2868
17299,60,Al Fakhama rice 5 kg,Indomie Chicken Curry Flavor,rice_with_generic_chicken,soft_penalty,rice and chicken should need stronger recipe or pair evidence than a broad default,0,8,0.5,,,,rice_centric,,grains,protein,76.674,58.0775,0.5,67.3758,rice and chicken should need stronger recipe or pair evidence than a broad default,rice,rice_with_generic_chicken,1.0,0.84,56.8142,47.7239,49.162
17299,1825,Al Fakhama rice 5 kg,Indomie Special Chicken Flavour Noodles,rice_with_generic_chicken,soft_penalty,rice and chicken should need stronger recipe or pair evidence than a broad default,0,8,0.5,,,,rice_centric,,grains,protein,76.674,58.0775,0.5,67.3758,rice and chicken should need stronger recipe or pair evidence than a broad default,rice,rice_with_generic_chicken,1.0,0.84,57.1519,48.0076,49.4542
17299,19427,Al Fakhama rice 5 kg,Afia fine semolina 400 grams,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,rice|flour,1.0,,,,,,,,,,,,,,,,
19427,17299,Afia fine semolina 400 grams,Al Fakhama rice 5 kg,recipe_only_weak_block,hard_block,blocked_recipe_only_weak,0,0,0.0,0.0,flour|rice,1.0,,,,,,,,,,,,,,,,
17299,14033,Al Fakhama rice 5 kg,Maggi cream of chicken soup 71g,rice_with_generic_chicken,soft_penalty,rice and chicken should need stronger recipe or pair evidence than a broad default,0,0,0.0,,,,rice_centric,,grains,protein,76.674,58.0775,0.0,67.3758,rice and chicken should need stronger recipe or pair evidence than a broad default,rice,rice_with_generic_chicken,1.0,0.84,54.0031,45.3626,47.2172
