product_id,product_name,category,subcategory,importance_level,category_tags,category_count,product_family
51,رويال صدور دجاج 1كيلو,protein,poultry,very_high,biryani|chicken_soup|frequent_purchase|grilled_chicken|ingredient|kabsa|machboos|poultry|protein|quaker_soup|ramadan|roasted_chicken|samboosa|saudi_staples|shawarma|shish_tawook|top_seller,17,
687,Diced Tomatoes 400g,vegetables,tomatoes,critical,dish|dolma|frequent_purchase|ingredient|jareesh|kabsa|matazeez|qeu_category|ramadan|rice_dishes|salads|sambousek|sauces|saudi|saudi_specialties|saudi_staples|soups|stews|tomatoes|vegetables,20,
808,Baider Pomegranate Molasses - 400g,condiments,sweet_sauces,very_high,condiments|desserts|fattoush|frequent_purchase|fresh_pomegranate|fruits|ingredient|marinades|pomegranate|pomegranate_juice|pomegranate_molasses|qeu_category|ramadan|salad_dressings|salads|sauces|sweet_sauces,17,
1846,بوك شبيه جبن الاصلية 500جم,dairy,cheese,very_high,appetizers|baking|cheese|dairy|desserts|frequent_purchase|ingredient|pasta|pizza|ramadan|salads|samboosa_cheese|sandwiches|saudi_staples|top_seller,15,cheese
1895,هرفي بوب كورن دجاج بالبقسماط 1 كيلو,protein,poultry,very_high,biryani|chicken_soup|grilled_chicken|ingredient|kabsa|machboos|poultry|protein|quaker_soup|ramadan|roasted_chicken|samboosa|saudi_staples|shawarma|shish_tawook,15,
2068,Saudi Tomato Paste,vegetables,tomatoes,critical,canned_goods|condiments|dish|dolma|frequent_purchase|ingredient|kabsa|matazeez|meat_dishes|paste|qeu_category|ramadan|rice_dishes|salads|sambousek|sauces|saudi|saudi_specialties|saudi_staples|soups|stews|tomato_paste|tomato_products|tomatoes|top_seller|vegetables,26,
2123,المراعي لبن كامل الدسم 180مل,saudi_specialties,laban,critical,dish|laban|ramadan|saudi|saudi_specialties,5,milk_dairy
2135,المراعي فيتا 400 جرام,other,,low,frequent_purchase|other,2,
2498,Kuwaiti Premium Flour – 1kg,grains,flour,critical,baking|batter|breads|coating|desserts|dish|flour|frequent_purchase|grains|ingredient|pastries|qeu_category|ramadan|samboosa|samboosa_dough|sauces|saudi|saudi_specialties|saudi_staples,19,
2697,Nizoral Shampoo for Dandruff and Seborrheic Dermatitis,other,,low,frequent_purchase|non_food|other,3,
2941,Goody Striped Pasta Rings – 450g (No. 10),grains,pasta,critical,grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|qeu_category|ramadan|spaghetti,11,
2961,Goody Spiral Pasta – 450g (No. 36),grains,pasta,critical,grains|ingredient|lasagna|macaroni|pasta|pasta_salad|pasta_sauce|penne|qeu_category|ramadan|spaghetti,11,
3051,KDD Mango Juice,fruits,tropical_fruits,very_high,beverages|desserts|drinks|fresh_juice|fresh_mango|fruit_juices|fruits|ingredient|mango|mango_juice|mango_lassi|mango_smoothie|qeu_category|tropical_fruits,14,
3191,Sasa Salt – 700g,spices,seasonings,critical,all_recipes|dish|frequent_purchase|ingredient|jareesh|laban|qeu_category|ramadan|saleeg|salt|saudi|saudi_specialties|saudi_staples|seasonings|spices,15,
3437,الوطنية دجاج مبرد 700 جرام,protein,poultry,very_high,biryani|chicken_soup|grilled_chicken|ingredient|kabsa|machboos|poultry|protein|quaker_soup|ramadan|roasted_chicken|samboosa|saudi_staples|shawarma|shish_tawook,15,
3451,الوليمة ستايل 5كجم,other,,low,frequent_purchase|other,2,
4449,Millionaire Salt & Vinegar Potato Chips 14×12g (Bundle),spices,seasonings,critical,all_recipes|chips|condiments|dish|dressings|frequent_purchase|fried_potatoes|ingredient|jareesh|kabsa|laban|maqluba|marinades|moussaka|party_snacks|pickles|qeu_category|ramadan|roasted_vegetables|salad|salads|saleeg|salt|sauces|saudi|saudi_specialties|saudi_staples|seasonings|snacks|soups|spices|tubers|vegetables|vinegar,34,chips_snacks
4466,الخضار شبث,other,,low,frequent_purchase|other,2,
4611,الخضار نعناع,herbs,fresh_herbs,high,desserts|dips|drinks|frequent_purchase|fresh_herbs|herbs|ingredient|jallab|laban|ramadan|salads|sauces|tea|top_seller,14,
4721,ابو سيوف ارز090جرام,other,,low,other,1,rice_centric
5668,الخضار بصل اخضر,vegetables,allium,critical,allium|frequent_purchase|fried_onions|ingredient|jareesh|kabsa|matazeez|meat_dishes|ramadan|rice_dishes|salads|sauces|saudi_staples|soups|stews|top_seller|vegetables,17,
5673,الخضار بطاطس كيس كبير,vegetables,tubers,very_high,frequent_purchase|fried_potatoes|ingredient|kabsa|maqluba|moussaka|ramadan|roasted_vegetables|salads|saudi_staples|soups|top_seller|tubers|vegetables,14,chips_snacks
5676,الخضار بقدونس,herbs,fresh_herbs,high,frequent_purchase|fresh_herbs|garnishes|herbs|ingredient|meat_dishes|ramadan|rice_dishes|salads|sauces|soups|tabbouleh|top_seller,13,
5746,الخضار فراولة,other,,low,frequent_purchase|other|top_seller,3,
5772,الخضار كزبرة,other,,low,frequent_purchase|other|top_seller,3,
5782,الخضار ليمون بن زهير كيس,fruits,citrus,high,citrus|desserts|drinks|frequent_purchase|fruits|ingredient|marinades|ramadan|rice_dishes|salad_dressings|sauces|soups|top_seller,13,
6003,الخضار برتقال ابو صره,fruits,citrus,high,citrus|desserts|frequent_purchase|fruit_salads|fruits|ingredient|juices|ramadan|snacks|top_seller,10,
6626,جولف ميد ملاعق صغير 100 حبه,other,,low,other,1,
7151,امريكان جاردن كاتشب 680جم,other,,low,other,1,
9871,Switz Master Bakers Mini Tortilla 250g,grains,bread,critical,appetizers|bread|fatayer|fattoush|frequent_purchase|grains|ingredient|manakish|pita|ramadan|sambousek|sandwiches|saudi_bread|saudi_staples,14,
10746,غذاء البركة بيض,protein,eggs,critical,baking|breakfast|cooking|custards|desserts|eggs|frequent_purchase|ingredient|omelets|protein|ramadan|sauces|saudi_staples|soups|top_seller,15,
10914,فاشن مناديل وجه 200 منديل (ربطة),other,,low,other,1,
11128,فرشلي حمص حب كبير  580جم,legumes,chickpeas,very_high,chickpea_curry|chickpeas|falafel|fatayer|fattet_hummus|harira|hummus|ingredient|legumes|ramadan|salads|saudi_staples|stews,13,
12618,كريمة الطبخ المراعي 500 مل كامل الدسم,dairy,dairy_products,high,baking|coffee|dairy|dairy_products|desserts|frequent_purchase|ice_cream|ingredient|sauces|soups|top_seller,11,
12971,كوزمو غسول لليدين ورد  750مل,other,,low,other,1,
13195,كيري جبنة 400جم 24 قطعه,dairy,cheese,very_high,appetizers|baking|cheese|dairy|desserts|frequent_purchase|ingredient|pasta|pizza|ramadan|salads|samboosa_cheese|sandwiches|saudi_staples,14,cheese
13799,Lux Body Wash Rose Flower,other,,low,non_food|other,2,
14474,مزاج بطاطس جبنة فرنسية 20×12جم,vegetables,tubers,very_high,appetizers|baking|cheese|dairy|desserts|frequent_purchase|fried_potatoes|ingredient|kabsa|maqluba|moussaka|pasta|pizza|ramadan|roasted_vegetables|salads|samboosa_cheese|sandwiches|saudi_staples|soups|tubers|vegetables,22,chips_snacks
15573,نما مفارش سفرة مطوية 2 * 100,other,,low,other,1,
16183,Homey Ranch Dressing 237ml,other,,low,other,1,
16186,Homey French Dressing 237ml,other,,low,frequent_purchase|other,2,
16390,وادي فاطمة حليب مبخر 170 جرام,dairy,dairy_products,critical,baking|cereals|chocolate_dessert|cooking|dairy|dairy_products|desserts|drinks|frequent_purchase|ingredient|milkshakes|ramadan|saleeg|saudi_staples,14,milk_dairy
16935,Al‑Rabie Enhanced Apple Juice 120 ml (18 Pack),fruits,fruits,high,apple_juice|apple_salad|beverages|desserts|drinks|fresh_apple|fresh_juice|fruit_juices|fruits|ingredient|snacks,11,
18010,نادك زبادي كـامل الدسم 170 مل,dairy,dairy_products,critical,dairy|dairy_products|desserts|dips|drinks|ingredient|laban|labneh|marinades|ramadan|salads|sauces|saudi_staples|smoothies|soups,15,
18045,امريكانا بطاطس مجمدة 2.50 كيلو,vegetables,tubers,very_high,frequent_purchase|fried_potatoes|ingredient|kabsa|maqluba|moussaka|ramadan|roasted_vegetables|salads|saudi_staples|soups|tubers|vegetables,13,chips_snacks
18163,Victoria Instant Dry Yeast - 125g,baking,baking_ingredients,high,baking|baking_ingredients|breads|desserts|frequent_purchase|ingredient|pastries|pizza_dough|qeu_category|yeast,10,
18953,دلال زيت شفاف 1.5 لتر,other,,low,frequent_purchase|other,2,
19262,العلالي باكينج بودر 200جم,other,,low,other,1,
19460,نستله خليط مكثف محلى 365غم,condiments,condiments,medium,condiments|dressings|frequent_purchase|ingredient|marinades|pickles|salad|sauces,8,
19590,كرافت جبنة 50جم,dairy,cheese,very_high,appetizers|baking|cheese|dairy|desserts|frequent_purchase|ingredient|pasta|pizza|ramadan|salads|samboosa_cheese|sandwiches|saudi_staples|top_seller,15,cheese
