product_id,product_name,recipe_score,saudi_importance,matched_ingredient
51,رويال صدور دجاج 1كيلو,85.5,very_high,chicken
687,Diced Tomatoes 400g,88.0,critical,tomatoes
808,Baider Pomegranate Molasses - 400g,39.0,medium,pomegranate_molasses
1846,بوك شبيه جبن الاصلية 500جم,76.5,very_high,cheese
1895,هرفي بوب كورن دجاج بالبقسماط 1 كيلو,85.5,very_high,chicken
2068,Saudi Tomato Paste,88.0,critical,tomatoes
2123,المراعي لبن كامل الدسم 180مل,0.0,low,
2135,المراعي فيتا 400 جرام,0.0,low,
2498,Kuwaiti Premium Flour – 1kg,76.5,very_high,flour
2697,Nizoral Shampoo for Dandruff and Seborrheic Dermatitis,0.0,low,
2941,Goody Striped Pasta Rings – 450g (No. 10),62.400000000000006,high,pasta
2961,Goody Spiral Pasta – 450g (No. 36),62.400000000000006,high,pasta
3051,KDD Mango Juice,34.8,medium,mango_juice
3191,Sasa Salt – 700g,92.0,critical,salt
3437,الوطنية دجاج مبرد 700 جرام,85.5,very_high,chicken
3451,الوليمة ستايل 5كجم,0.0,low,
4449,Millionaire Salt & Vinegar Potato Chips 14×12g (Bundle),72.0,very_high,potatoes
4466,الخضار شبث,0.0,low,
4611,الخضار نعناع,62.400000000000006,high,mint
4721,ابو سيوف ارز090جرام,0.0,low,
5668,الخضار بصل اخضر,90.0,critical,onions
5673,الخضار بطاطس كيس كبير,72.0,very_high,potatoes
5676,الخضار بقدونس,65.60000000000001,high,parsley
5746,الخضار فراولة,0.0,low,
5772,الخضار كزبرة,0.0,low,
5782,الخضار ليمون بن زهير كيس,64.0,high,lemon
6003,الخضار برتقال ابو صره,56.0,high,oranges
6626,جولف ميد ملاعق صغير 100 حبه,0.0,low,
7151,امريكان جاردن كاتشب 680جم,0.0,low,
9871,Switz Master Bakers Mini Tortilla 250g,92.0,critical,bread
10746,غذاء البركة بيض,88.0,critical,eggs
10914,فاشن مناديل وجه 200 منديل (ربطة),0.0,low,
11128,فرشلي حمص حب كبير  580جم,79.2,very_high,chickpeas
12618,كريمة الطبخ المراعي 500 مل كامل الدسم,56.0,high,cream
12971,كوزمو غسول لليدين ورد  750مل,0.0,low,
13195,كيري جبنة 400جم 24 قطعه,76.5,very_high,cheese
13799,Lux Body Wash Rose Flower,0.0,low,
14474,مزاج بطاطس جبنة فرنسية 20×12جم,72.0,very_high,potatoes
15573,نما مفارش سفرة مطوية 2 * 100,0.0,low,
16183,Homey Ranch Dressing 237ml,0.0,low,
16186,Homey French Dressing 237ml,0.0,low,
16390,وادي فاطمة حليب مبخر 170 جرام,85.0,critical,milk
16935,Al‑Rabie Enhanced Apple Juice 120 ml (18 Pack),52.0,high,apple
18010,نادك زبادي كـامل الدسم 170 مل,88.0,critical,yogurt
18045,امريكانا بطاطس مجمدة 2.50 كيلو,72.0,very_high,potatoes
18163,Victoria Instant Dry Yeast - 125g,37.199999999999996,medium,yeast
18953,دلال زيت شفاف 1.5 لتر,0.0,low,
19262,العلالي باكينج بودر 200جم,0.0,low,
19460,نستله خليط مكثف محلى 365غم,40.8,medium,vinegar
19590,كرافت جبنة 50جم,76.5,very_high,cheese
20155,الصافي حليب كامل الدسم,85.0,critical,milk
20307,Al-Arabi Pure Vegetable Oil,88.0,critical,vegetable_oil
20527,بريزيدن لبنة تركية 180 جم,70.2,very_high,labneh
20618,هاينز مايونيز بالثوم 225 مل,85.0,critical,garlic
20812,Almarai Mozzarella Cheese,76.5,very_high,cheese
21135,White Paper Cups 50 Pack,0.0,low,
21347,بوك قشطة قيمر4×125جم (نسخة),0.0,low,
21397,المراعي قشطة  170 جرام * 6,0.0,low,
21681,Luna Full Cream Evaporated Milk - Small Portions 15g,85.0,critical,milk
22835,شاينكس كلور منظف 3.78 لتر,90.0,critical,tea
22937,Nadec Plain Greek Yogurt,88.0,critical,yogurt
23065,داك منظف ارضيات منوع 3لتر +3لتر,0.0,low,
23181,ساديا صدور دجاج مكعبات 750جم,85.5,very_high,chicken
23226,فرشلي ذرة حب 340جم,20.8,low,corn
23292,Sadia chicken fillet classic,85.5,very_high,chicken
24687,Saudi Milk 24x125ml,85.0,critical,milk
1900,"Goody Spaghetti Pasta – 450g, No. 20",62.400000000000006,high,pasta
2699,شمس زيت دوار الشمس 1.5 لتر,0.0,low,
3642,Diet Pepsi 990ml,0.0,low,
5756,الخضار فلفل رومي,40.8,medium,bell_peppers
5786,يوسف افندي,0.0,low,
5790,الخضار موز,57.6,high,bananas
9070,سفن اب دايت مشروب غازي 990 مل,0.0,low,
17278,داري صدور دجاج طرية 2 كجم,85.5,very_high,chicken
3,Barakat Al-Sanabel Striped Ring Pasta 450g,62.400000000000006,high,pasta
66,Barakat Al Sanabel Twisted Pasta,62.400000000000006,high,pasta
275,برايد جبنة شرايح ساندويتش170جم*10,76.5,very_high,cheese
684,Bonta Sweetened Condensed Milk,85.0,critical,milk
1378,تونة الشاهين 90جم,0.0,low,
2169,Indofood Sweet Soy Sauce (Kecap Manis) - 340ml,0.0,low,
2290,Barakat Al-Sanabel Bell Pasta,62.400000000000006,high,pasta
2293,Barakat Al Sanabel Penne Pasta,62.400000000000006,high,pasta
2591,Rana Ketchup – 340g,0.0,low,
2865,Foster Clark's Milk Chocolate Cake Mix,60.0,high,chocolate
4138,فرجينتو فاصوليا بيضاء 400 جم,43.199999999999996,medium,beans
4549,الخضار خيار,57.6,high,cucumber
4622,يومي خبز توست  ابيض  فاخر,92.0,critical,bread
5670,الخضار بصل كيس وسط,90.0,critical,onions
5702,الخضار جزر الشربتلي (نسخة),60.0,high,carrots
5826,Alkhair Drip Coffee with Forte 3×10g,0.0,low,
9556,Suhoolat Crispy Fried Onions - 400g,90.0,critical,onions
10463,طربزون خبز تورتيلا 360 جرام,92.0,critical,bread
11467,فونتي تورتيلا ابيض 165جم,88.0,critical,eggs
18612,المراعي حليب دبل شوكولاتة,60.0,high,chocolate
21113,Baraka Al Sanabel Pasta Shells 450g,62.400000000000006,high,pasta
21114,Large Elbow Pasta 450g,62.400000000000006,high,pasta
21466,الصافي حليب طويل الأجل كامل الدسم 1 لتر,85.0,critical,milk
24677,اي دي فطيرة صغيرة بالقمح الكامل 400جم,0.0,low,
24689,Torin Classic Red Chocolate 50g,60.0,high,chocolate
24703,Torin Mr. Bite Hazelnut Chocolate 38g,60.0,high,chocolate
24707,Torin Mr. Bite Pistachio Chocolate 38g,60.0,high,chocolate
24916,Listello Brown Rice Cakes 130g,100.0,critical,rice
1860,حدائق كاليفورنيا  ذرة حلوة حبوب كاملة 400 جرام,20.8,low,corn
1868,Rana Large Hot Sauce,0.0,low,
4564,الخضار طماطم,88.0,critical,tomatoes
5688,خضار ثوم 1 كيس,85.0,critical,garlic
24454,جود فود عسل سدر كشميري 1 كجم,73.8,very_high,honey
24503,يامور ذرة 340جم,20.8,low,corn
1810,Al Waleema Rice,100.0,critical,rice
2429,La Roche-Posay Effaclar Foaming Gel Cleanser - 400ml,0.0,low,
3131,Lipton Yellow Label Tea,90.0,critical,tea
3355,Arqa Cream Substitute 155g,56.0,high,cream
4448,Millionaire Spicy Potato 14×12 grams (Bundle),0.0,low,
5754,الخضار فلفل حار وطني,40.8,medium,bell_peppers
7937,Barbican Iced Berry Malt Drink - 6x250ml,0.0,low,
10193,Gillette Blue Plus Men's Razor Blades 10+4 Free,0.0,low,
11428,فوستر كلاركس خليط كيك شوكلاتة داكنه 500جم,40.8,medium,vinegar
11745,فيفا فروتي,0.0,low,
14033,ماجي شوربة كريمة الدجاج 71جم,56.0,high,cream
16651,Yamour Strawberry Jam 400g,0.0,low,
18402,ETI Wafer Up with Cocoa Cream - 39.5g,60.0,high,chocolate
20526,Zoro Potato Chips - Pack (9 × 20g),72.0,very_high,potatoes
22178,Fiery Spicy Crackers,0.0,low,
23044,Aqua Life Bottled Drinking Water - Pack of 40 x 330ml,0.0,low,
23048,Sprite Citrus Mint Flavor,62.400000000000006,high,mint
23580,سبرايت بنكهة الحمضيات والنعناع 12×185مل,62.400000000000006,high,mint
24501,برسيل جل لافندر 2.9+2.9 لتر,0.0,low,
24650,اوكوكو ماكرون بسكويت محشو بنكهة الليمون 188 جم,62.400000000000006,high,biscuits
25740,تايجر بلس بطاطس بالشطة 20×13جم,72.0,very_high,potatoes
26593,قروفيا مسحوق غسيل ملابس 10كجم,0.0,low,
26594,قروفيا منعم ملابس 1لتر,0.0,low,
333,Wheat Spaghetti 450g,62.400000000000006,high,pasta
730,Pepsi Zero Sugar Soft Drink - 990ml,85.0,critical,sugar
751,Dobby Chicken Stock,85.5,very_high,chicken
1490,3P Tablecloth Set 4+1 Roll Free,0.0,low,
1825,Indomie Special Chicken Flavour Noodles,85.5,very_high,chicken
2529,Delicio Mayonnaise - 946g,0.0,low,
2859,Foster Vanilla Sachet – 28g,39.0,medium,vanilla
2867,Foster Clark's Custard,0.0,low,
3252,Nova Spicy Mint Chewing Gum,62.400000000000006,high,mint
3946,ريفوني معجون طماطم 8×135جم,88.0,critical,tomato_paste
4169,فوستر كلاركس كريم كراميل 71جم,0.0,low,
4627,يونيفود شعيرية  الوطنية مقلية 150جم,40.8,medium,vermicelli
5302,الاسرة  سكر ابيض ناعم قطم 5 Kilo,88.0,critical,eggs
6554,الكرامة مربعات بف بيستري عادي 400جم,0.0,low,
8148,ديمو فلاش 1.25 لتر,0.0,low,
11464,حدائق سلمى خل ابيض  4 لتر,88.0,critical,eggs
11474,فوستر كلاركس نكهه طعام موز 14مل,57.6,high,bananas
12371,كاندي دريم خفق 80جم,0.0,low,
13108,Quaker White Oats - 500g,72.0,very_high,oats
13813,لوك مي شوكولاتة محشو بكريمة اللوتس 12×35 جرام,60.0,high,chocolate
16800,سفن دايز كيك بار شوكلاتة 12×25جم,0.0,low,
17787,عافية ليمون اسود مجفف 200جم,64.0,high,lemon
18523,نبتة بهارات كمون حب 200 جم,60.0,high,baharat
18963,دلال زيت نباتي صافي  1.5 لتر,88.0,critical,vegetable_oil
20000,Vanilla Mini Rolls,39.0,medium,vanilla
20751,Kraft Cheese,76.5,very_high,cheese
21095,فرسانا موزريلا بلوك 1 كيلو,57.6,high,bananas
21339,اولكر شوكو,0.0,low,
21765,Dari Labneh,88.0,critical,yogurt
21775,Al Alali Baking Powder,36.0,medium,baking_powder
22816,Orion Choco Pie (Marshmallow Filled Cake) - 12 x 28g,0.0,low,
23726,Frozen Qualico chicken breast,85.5,very_high,chicken
24429,جينتو سائل صحون باليمون 800 مل,64.0,high,lemon
24504,Rovida Sweet Corn 425g,20.8,low,corn
24544,كيتكات شريط 6×124جم,0.0,low,
24675,اي دي فطيرة ميني مالابار 400جم,0.0,low,
24731,أرياف اكياس نفايات 55جالون 2*1,0.0,low,
24814,قوي شاحن سيارة فايبر,0.0,low,
24947,اناقة العملاق شامبو عباية 2 لتر,0.0,low,
24948,كارتكس كلور 3.78 لتر,0.0,low,
26183,سفرة تونة 160جم,0.0,low,
26480,فقيه دجاج مجمد 10×600 جرام,85.5,very_high,chicken
27164,لمسة شيف مرقة بنكهة الدجاج 18 جم (حبة 24),85.5,very_high,chicken
27413,ريتاج كيك الدخن 16حبة×400جم,0.0,low,
27518,كوزمو مزيل عرق مضاد للتعرق 6×1 -50مل,0.0,low,
28139,توتي شراب فواكه مشكلة 650مل,0.0,low,
2551,Almarai Whole Milk,85.0,critical,milk
5698,الخضار جرجير,0.0,low,
6993,National Refrigerated Chicken 1100g,85.5,very_high,chicken
8495,Rita Mixed Berries (Carbonated Drink) - 240ml,0.0,low,
10114,Shinex - Disinfectant with Haram Fragrance - 1 Liter,0.0,low,
23500,سباركي سلك شاحن 1 متر (مايكرو),0.0,low,
1849,Green Farms Medium Grain Rice Grade A,100.0,critical,rice
3442,الوطنية صدور دجاج فيلية 450 جرام,85.5,very_high,chicken
16733,يومي خبز توست قمح فاخر,92.0,critical,bread
17299,ارز الفخامة 5 كيلو,0.0,low,
20764,الخضار باذنجان,60.0,high,eggplant
22295,الفخامة زيت 1.50 لتر,0.0,low,
24620,مايوركا مطهر ارضيات ليمون 3 لتر,64.0,high,lemon
24746,Maiorca Floor Cleaner Rose Fragrance 3L,0.0,low,
27161,ريحانة جبنة شيدر 400 جم,76.5,very_high,cheese
1845,بوك جبنة مربعات بالقشطة 108جم,76.5,very_high,cheese
2291,Barakat Al Sanabel Striped Penne Pasta,62.400000000000006,high,pasta
2485,داري فطير 400 جم,0.0,low,
2902,Ghrameesh Whole Wheat Rusks – 375g,43.199999999999996,medium,whole_wheat
3210,نـادك حليب طازج كامل الدسم 1.75 لتر,85.0,critical,milk
3300,Hana Whole Grain Oats 900g,72.0,very_high,oats
3382,Al-Tai Instant Oats 400g,72.0,very_high,oats
4225,كادبري فليك شكلاته 80 جم,0.0,low,
5677,الخضار بنجر,0.0,low,
5993,كريمة الطبخ باستا 250 مل,56.0,high,cream
6195,Al-Taie Red Kidney Beans - 400g,43.199999999999996,medium,beans
6540,الكرامة عجينة الكلاج 500جم,0.0,low,
7115,Americana Corn 200 grams,20.8,low,corn
8545,فانيلا ريحان 20جم,0.0,low,
8692,زاك مناديل رول 600,0.0,low,
10146,شراب فيمتو مركز 710 مل,95.0,critical,vimto
10464,طربزون خبز تورتيلا 650 جرام,92.0,critical,bread
10465,طربزون خبز تورتيلا 10×900 جرام,92.0,critical,bread
11516,فونتي ميلك بريد 315,0.0,low,
13809,لوك مي شوكولاتة محشو بكريمة الحليب 12×35 جرام,60.0,high,chocolate
16393,وادي فاطمة شبيه قشطة170جرام,0.0,low,
16721,يونتاد خبز تورتال ابيض 20سم 450جم,92.0,critical,bread
